change_type,entity,id,field,old_value,new_value,note
wac_negstock,ProductVariant,cmr0j9p2o0033t1dze83lqjmf,wacCost,25714.29,18000,"19.5 Blacklion DIFF (neg-stock)"
wac_negstock,ProductVariant,cmr0j9ciz0021t1dzxpc0nb0q,wacCost,28000.00,21000,"11R22.5 Grandstone DIFF (neg-stock)"
wac_negstock,ProductVariant,cmr0j9hk8002ft1dzdvuixwws,wacCost,37500.00,25000,"10.00R20 Roadshine DIFF (neg-stock)"
wac_negstock,ProductVariant,cmr0j9eah0027t1dz8afcfk8i,wacCost,24500.00,21000,"11R22.5 Roadshine AP (neg-stock)"
wac_negstock,ProductVariant,cmr0jab700053t1dzobzma17c,wacCost,7000.00,3500,"185/70R14 Compaser (neg-stock)"
wac_negstock,ProductVariant,cmr0j9t51003ft1dztllleq1c,wacCost,20000.00,15000,"17.5 Linglong Small (neg-stock)"
wac_free,ProductVariant,cmr0j9too003ht1dz3z7ienqk,wacCost,0.00,15500,"17.5 Linglong DIFF"
wac_free,ProductVariant,cmr0j9gal002bt1dzr38mv10p,wacCost,0.00,9000,"22.5 Shimo Nane"
wac_free,ProductVariant,cmr0j9d2l0023t1dzme34n6e2,wacCost,12666.67,19000,"11R22.5 Grandstone AP"
wac_free,ProductVariant,cmr0j9q8y0037t1dzpgb1q7y9,wacCost,0.00,6500,"Rim 19.5 Generic"
wac_free,ProductVariant,cmr0jabqp0055t1dzj78p1xnt,wacCost,0.00,3500,"185/70R14 Doubleking"
typo,PurchaseLine,cmr69de9x000104jsuiacu0l9,unitCost,1500.00,15000,"17.5 Linglong Small 2026-07-01"
typo,PurchaseLine,cmr69de9x000104jsuiacu0l9,lineTotal,3000.00,30000,"17.5 Linglong Small 2026-07-01"
sale_cost,SaleLine,cmrc8f89i000204l71lg0wiph,unitCostAtSale,25714.29,18000,"inv 2026-078"
sale_cost,SaleLine,cmrc66o62000g04lawqh58i2d,unitCostAtSale,37500.00,25000,"inv 2026-077"
sale_cost,SaleLine,cmrd8ao3c000104ky047eolme,unitCostAtSale,11197.71,15128,"inv 2026-081"
sale_cost,SaleLine,cmrde8oj7000104l7eaxem0my,unitCostAtSale,0.00,3500,"inv 2026-084"
sale_cost,SaleLine,cmr97tput000504lbqw8rq4b1,unitCostAtSale,7000.00,6500,"inv 2026-046"
sale_cost,SaleLine,cmr97uelc000904lbmz3o6clo,unitCostAtSale,7000.00,6500,"inv 2026-047"
sale_cost,SaleLine,cmr97v9eh000d04lb9cmk2mo1,unitCostAtSale,7000.00,6500,"inv 2026-048"
sale_cost,SaleLine,cmrde8ojw000204l7cm5xiqs9,unitCostAtSale,3500.00,3300,"inv 2026-084"
sale_cost,SaleLine,cmramsq5j000h04l8uv3r8du5,unitCostAtSale,19125.00,19500,"inv 2026-062"
sale_cost,SaleLine,cmramsx0i000l04l8lab1eo3h,unitCostAtSale,19125.00,19500,"inv 2026-063"
sale_cost,SaleLine,cmraw4x5t000204lainzmjlfe,unitCostAtSale,19125.00,18750,"inv 2026-070"
sale_cost,SaleLine,cmr634wwu000204k0icru3cxz,unitCostAtSale,6300.00,6440,"inv 2026-006"
sale_cost,SaleLine,cmr67smn4000204l2v60fmkqd,unitCostAtSale,6300.00,6440,"inv 2026-009"
sale_cost_free,SaleLine,cmrdad1hm000104l4z4gik7cv,unitCostAtSale,0.00,9000,"inv 2026-083 22.5 Shimo Nane"
sale_cost_free,SaleLine,cmrc641ot000604lab25we5ct,unitCostAtSale,0.00,9000,"inv 2026-075 22.5 Shimo Nane"
sale_cost_free,SaleLine,cmras8mu5000204jmaheck5gr,unitCostAtSale,0.00,6500,"inv 2026-067 Rim 19.5 Generic"
sale_cost_free,SaleLine,cmrc65e0i000b04laz7skpeqr,unitCostAtSale,0.00,6500,"inv 2026-076 Rim 19.5 Generic"
sale_cost_free,SaleLine,cmr9ebnmg000c04jvo05yx18o,unitCostAtSale,0.00,3500,"inv 2026-052 185/70R14 Doubleking"
